Query,Number of Papers Retrieved,Recall (All),Recall (Journal & Conf. Papers),Recall (Preprints),Missing Journal & Conf. Papers,Missing Preprints
Elicit Prompt 1,99,44.00%,28.57%,63.64%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Questioning the Survey Responses of Large Language Models; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Elicit Prompt 2,99,44.00%,28.57%,63.64%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Elicit Prompt 3,99,40.00%,35.71%,45.45%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Elicit Prompt 4,99,40.00%,35.71%,45.45%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Elicit Prompt 5,99,56.00%,50.00%,63.64%,Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Elicit All Prompts,261,52.00%,57.14%,45.45%,Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Consensus Prompt 1,100,32.00%,28.57%,36.36%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Consensus Prompt 2,100,24.00%,21.43%,27.27%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Consensus Prompt 3,100,28.00%,21.43%,36.36%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Consensus Prompt 4,100,24.00%,14.29%,36.36%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Consensus Prompt 5,100,20.00%,14.29%,27.27%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Consensus All Prompts,397,52.00%,57.14%,45.45%,"Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Asta Prompt 1,67,32.00%,21.43%,45.45%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research
Asta Prompt 2,64,32.00%,21.43%,45.45%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research
Asta Prompt 3,67,44.00%,35.71%,54.55%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Asta Prompt 4,36,16.00%,7.14%,27.27%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Performance and biases of Large Language Models in public opinion simulation; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Replacements for Human Survey Data? The Perils of Large Language Models; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Asta Prompt 5,55,44.00%,35.71%,54.55%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Asta All Prompts,152,60.00%,42.86%,81.82%,"AI–Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Examining the Feasibility of Large Language Models as Survey Respondents
