Source,Query, Number of Papers Retrieved ,Recall (All),"Recall
(Journal & Conf. Papers)",Recall (Preprints),Missing Journal & Conf. Papers,Missing Preprints
Web of Science,LLM and SimulationA, 561 ,45.45%,90.91%,0.00%,Knowledge of cultural moral norms in large language models,AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and SimulationB," 1,223 ",50.00%,100.00%,0.00%,,AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and SimulationC," 3,827 ",31.82%,63.64%,0.00%,"Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and Survey and SimulationA, 320 ,45.45%,90.91%,0.00%,Knowledge of cultural moral norms in large language models,AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and Survey and SimulationB, 922 ,50.00%,100.00%,0.00%,,AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and Survey and SimulationC," 1,503 ",31.82%,63.64%,0.00%,"Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and SimulationA and Methods, 169 ,27.27%,54.55%,0.00%,"Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Knowledge of cultural moral norms in large language models; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation; Synthetic Replacements for Human Survey Data? The Perils of Large Language Models",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and SimulationB and Methods, 329 ,40.91%,81.82%,0.00%,Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Performance and biases of Large Language Models in public opinion simulation,AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Web of Science,LLM and SimulationC and Methods," 1,406 ",27.27%,54.55%,0.00%,"Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Knowledge of cultural moral norms in large language models; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
,,,,,,,
Semantic Scholar,LLM and SimulationA," 6,012 ",81.82%,100.00%,63.64%,,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models
Semantic Scholar,LLM and SimulationB," 10,000 ",40.91%,54.55%,27.27%,"LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Predicting Missing Values in Survey Data Using Prompt Engineering for Addressing Item Non-Response; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; Vox Populi, Vox AI? Using Large Language Models to Estimate German Vote Choice",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Semantic Scholar,LLM and SimulationC," 4,574 ",45.45%,63.64%,27.27%,"Knowledge of cultural moral norms in large language models; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
Semantic Scholar,LLM and Survey and SimulationA," 3,493 ",81.82%,100.00%,63.64%,,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models
Semantic Scholar,LLM and Survey and SimulationB," 14,893 ",86.36%,100.00%,72.73%,,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research
Semantic Scholar,LLM and Survey and SimulationC," 1,939 ",45.45%,63.64%,27.27%,"Knowledge of cultural moral norms in large language models; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
Semantic Scholar,LLM and SimulationA and Methods," 1,839 ",45.45%,54.55%,36.36%,"Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Semantic Scholar,LLM and SimulationB and Methods," 10,000 ",45.45%,54.55%,36.36%,"Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Semantic Scholar,LLM and SimulationC and Methods," 2,505 ",31.82%,45.45%,18.18%,"Can large language models estimate public opinion about global warming? An empirical assessment of algorithmic fidelity and bias; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information; The threat of analytic flexibility in using large language models to simulate human data: A call to attention
Semantic Scholar,LLM and Survey and SimulationA Filtered," 1,487 ",81.82%,100.00%,63.64%,,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models
Semantic Scholar,LLM and Survey and SimulationB Filtered," 6,939 ",86.36%,100.00%,72.73%,,Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research
Semantic Scholar,LLM and Survey and SimulationC Filtered, 688 ,45.45%,63.64%,27.27%,"Knowledge of cultural moral norms in large language models; Out of One, Many: Using Language Models to Simulate Human Samples; Performance and biases of Large Language Models in public opinion simulation; SeSaMe: A Framework to Simulate Self-Reported Ground Truth for Mental Health Sensing Studies",AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
